sentence,aspect,sentiment
"Pin ảo, hiển thị không chính xác. Pin tụt đột ngột từ 30% xuống 0%. Hiệu năng kém khi mở nhiều ứng dụng. Pin sụt nhanh hơn cả tốc độ mạng. Đóng gói sơ sài, hộp móp méo",Packaging,negative
"Sản phẩm tốt, chất lượng so với tầm giá. Đóng gói cẩn thận, gọn đẹp. Nhân viên giao hàng nhiệt tình, trách nhiệm… nên mua ở cửa hàng này nhé các bạn. Uy tín, đảm bảo… ủng hộ cửa hàng",Packaging,positive
Cửa hàng giao hàng nhanh. Máy chạy chậm không mượt lắm,Performance,negative
Đúng hàng. Neo 10 máy nguyên seal. Màn hình to. Nhưng mỏng cầm rất sướng tay. Và nhẹ.,Design,positive
"Đúng với mô tả: Đúng 
Tính năng nổi bật: Đúng 
Chất lượng sản phẩm: Rất chi là tốt luôn",General,positive
"Sản phẩm sử dụng rất tốt, cửa hàng tư vấn nhiệt tình nên mua nha mọi người. Ship hàng nhanh",Shipping,positive
Đã check imei kích hoạt bảo hành gần hàng mới nguyên siu,Shop_Service,neutral
"Chất lượng sản phẩm: Sản phẩm chính hảng 
Đúng với mô tả: Hàng chất lượng điện thoại giá rẻ săn sell. Mua giá ổn. Sử dụng tốt mượt mà",Price,positive
Màn tàu sạc vào kém,Battery,negative
"Đúng với mô tả: Không bt 
Chất lượng sản phẩm: Không bt 
Tính năng nổi bật: Kobt hình ảnh mang tính chất nhận xu thuiiiiii hehe",General,neutral
"Màu sắc: Vàng điện thoại nhìn sang trọng thật sự, rất thích mọi người nên mua cửa hàng này uy tín, cho cửa hàng 10 sao luôn haha",General,positive
Đóng hàng sơ sài. Không đúng với lời hứa. Pin chai nhanh. Hộp bị móp méo. Pin mới dùng đã có vấn đề. Hiệu năng lag. Ship chậm,Shipping,negative
Nhóm màu: Đen hàng tốt uy tín cảm ơn cửa hàng sẽ ủng hộ lần sau,General,positive
22Tr529 mua sale ngày đôi 6/6 mà mắc hơn ngày thường. 20/6 Có 22tr sốc nặng luôn,Price,negative
Camera màu sắc không chuẩn pin chai nhanh sau vài tuần shipping mất 7 ngày không lý do,Camera,negative
"Tính năng nổi bật: Đúng 
Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Ổn giao hàng nhanh chóng. Đơn hàng giá trị cao mà đóng gói sơ sài quá băng keo dán không chặt bị hở bên trong hộp như kiểu hàng bị tráo rồi. Cũng may mở ra vẫn đầy đủ máy",Shipping,positive
"Sử dụng 3 ngày rồi, tốt. Nhưng giao hàng siêu lâu. Hộp dù đóng gói cẩn thận nhưng vẫn bị móp. Nhân viên trả lời hơi chậm. Mua được giá 32.089k",Packaging,negative
"Đóng gói lủng lẳng, pin rỉ nghe sách nói. Camera chính góc tối, hiệu năng dao động.",Camera,negative
Hình ảnh mang tính chất nhận xu. Điện thoại quá tốt so với tầm giá. Máy có vẻ đã được mở ra làm lại nhưng dùng tốt mọi chức năng đều không có gì để chê. Ngoại hình không một vết xước có điều dính cường lực 2 viền không ăn keo dính mấy loại khác nhau đều bị thế có lẽ màn không phẳng. Cảm ơn cửa hàng chúc cửa hàng buôn may bán đắt!,Design,positive
"Tính năng nổi bật: Mình săn sale nên áp mã vô giá rất tốt. Điện thoại sử dụng ổn nếu không chơi game nặng. 
Đúng với mô tả: Sản phẩm đúng với mô tả. Lúc giao tới còn nguyên seal cho mình bóc luôn. Giao bởi nhân viên của fptshop có gọi điện hỏi giờ tiện để nhận hàng và chăm sóc khách hàng rất nhiệt tình.",Price,neutral
Nói chung sau gần 2 tuần sử dụng thì con máy này không có điểm gì để chê nữa trong tầm giá dưới 2 củ tôi đã test game và điều làm tôi ngạc nhiên là em nó chơi được genshin impact dù fps chỉ 30-45 thôi nhưng vậy đủ rồi còn liên quân free fire thì khỏi cần nói ha camera thì khỏi phải chê quá nét và con chip cực mạnh với 352 ngàn điểm quá tuyệt vời nếu có cơ hội sẽ mua ủng hộ cửa hàng tiếp nhưng một điểm trừ là cục sạc rất cùi mua về sạc 1 tuần đã hư rồi dây thì bình thường nhưng củ sạc lại không vô điện vậy thôi đó tổng thể con điện thoại này đáng mua nhé 9₫,Price,positive
"Màu sắc: Bạc 
Phân loại: Fullbox mới thích màu bạc của điện thoại., chống nước là một điểm cộng., thiết kế mỏng nhẹ, rất đẹp!, phiên bản quốc tế tuyệt vời với khả năng tương thích toàn cầu., chất lượng camera ấn tượng., thời lượng pin lâu dài., phiên bản quốc tế tuyệt vời với khả năng tương thích toàn cầu., màn hình tuyệt vời với tần số làm mới 90hz., giá trị tuyệt vời cho số tiền bỏ ra.,",Price,positive
"Săn sale được giá quá tốt, vừa rẻ vừa đẹp 5 sao cho cửa hàng.",Price,positive
"Chất lượng sản phẩm: Khung máy bị ọp ẹp. 
Đúng với mô tả: Không chắc chắn. 
Tính năng nổi bật: Chất lượng vỏ kém. Đóng hàng chỉ bọc giấy báo. Ship giao nhầm đơn. Hiệu năng không ổn định",Packaging,negative
"Mới sử dụng 1 buổi sáng, độ bền thì chưa biết",General,neutral
"Điện thoại đẹp, màn hình sáng, pin trâu nói chung là 10d không có nhưng, với phân khúc giá này sở hữu cấu hình quá ok",Design,positive
"Sản phẩm rất tốt hàng chuẩn xiaomi, máy mới nguyên hộp rất đẹp, máy mới cửa hàng đã cài full tiếng việt và ứng dụng google về chỉ việc sử dụng. Máy màn rất đẹp pin cũng trâu nói chung sản phẩm rất tốt và giá cả cũng cạnh tranh, cửa hàng rất uy tín lần sau mình ủng hộ thêm",Battery,positive
"Nhóm màu: Xanh dương 
Dung lượng lưu trữ: 128gb lựa chọn màu sắc tuyệt vời!, thiết kế mượt mà, rất ưng!, tuổi thọ pin lâu dài.,",Battery,positive
Chăm sóc khách hàng hứa hẹn suông không thực hiện pin tụt đột ngột không báo trước hiệu năng yếu với app nặng,Battery,negative
"Dung lượng lưu trữ: 8 + 256 gb máy khá tốt, nhưng có vẻ máy đã sử dụng lướt hoặc hàng trưng bày nên đóng bụi chân sạc khá nhiều. Sử dụng rồi thời gian nữa quay lại đánh giá",General,neutral
"Quá trình vận chuyển diễn ra bình thường, không nhanh cũng không chậm. Đóng gói sản phẩn tạm chấp nhận được.",Packaging,neutral
Pin chỉ sạc được đến 90%. Pin bị giới hạn. Dung lượng pin không đủ. Máy báo đầy nhưng chỉ được 90% pin. Đóng hàng mỏng manh,Packaging,negative
"Quạt chạy rất êm, sạc nhanh và không bị nóng. Giao hàng nhanh. Đáng mua",Battery,positive
"Variation3: Ram 4/64gb hàng đẹp, đóng gói cần thận, nhận máy hết pin chưa trải nghiệm",Packaging,positive
"Cửa hàng giao hàng siêu nhanh, đóng gói chắc chắn và kĩ lắm, điện thoại nguyên seal, sx năm 2025, hàng chính hãng, check bảo hành của apple. Cửa hàng tư vấn nhiệt tình lắm luôn.",Shipping,positive
"Đúng với mô tả: Gần đúng 
Chất lượng sản phẩm: Tạm 
Tính năng nổi bật: Mất áp, không còn zin điện thoại mất áp suất, mất zin, pin 75%, ( cửa hàng nói 85% ), có trầy sước, bản rom nhà mạng au. Cảm ơn cửa hàng.!!",Design,negative
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Màu đen cửa hàng đóng gói rất chu đáo an toàn, giao hàng nhanh, ngoại hình máy mới rất đẹp, không bị trầy sước gì, lần sau sẽ ủng hộ cửa hàng tiếp 🫶",Shipping,positive
Pin chỉ sử dụng được hơn 3 tiếng. Máy nặng quá khi cầm lâu. Tốc độ khởi động ứng dụng chậm chạp. Đóng gói hộp bị xẹp. Shipper tự ý đổi giờ giao hàng,General,negative
"Màn hình trong,cảm ứng hơi cùi tí không nhạy như máy cao tiền. Loa hơi nhỏ,1 loa chống điếc thôi. Camera cũng tạm. Nói chung tiền nào của đó thôi. Pin trâu thiệt, đóng gói cẩn thận, phụ kiện đầy đủ.",Camera,positive
"Cửa hàng cực kỳ dễ thương, tư vấn chuyên nghiệp...... Chất lượng rất tuyệt so với giá cả luôn nha. Giao hàng cũng nhanh chóng nữa, nói chung là mình hài lòng lắm luôn. Sẽ mua tiếp",Shipping,positive
Chăm sóc khách hàng từ chối hỗ trợ pin yếu chỉ 2h dùng nặng hiệu năng giật khi xem phim,Shop_Service,negative
"Mình đánh giá sau 1 tháng sử dụng là máy vẫn rất ngon, với tầm tiền này thì quá ổn. Mặc dù là máy dựng nhưng sử dụng không thấy lỗi gì hết, vẫn lướt web chơi game tốt. Cửa hàng làm ăn khá uy tín. Lúc đầu cũng hơi lo nhưng không ngờ là máy ngon. Mình đánh giá để anh em nào muốn mua thì cứ yên tâm mà duyệt. ( Bộ nhớ trong là 128g chứ không phải là 256g như trong máy, còn ram thì chuẩn 8g )",Performance,positive
Sản phẩm: Sản phẩm chất lượng kém mong cửa hàng xem lại,General,negative
"Đúng với mô tả: Ngoại hình không đúng 
Chất lượng sản phẩm: Chỉ tốt 1-2 ngày đầu 
Tính năng nổi bật: Máy mượt trải nghiệm không tốt, chỉ sử dụng ổn ngày đầu mới mua, về ngoại hình không được 97-99% như mô tả, pin cũng khá ảo hơn so với thông số máy. Sau 1 ngày sử dụng thì sập nguồn không lên nữa. Vote sao thấp nhắn cho cửa hàng thì bị chặn phản hồi thì bị khiếu nại ngược. Nói chung là tệ",Design,negative
Giao hàng nhanh máy tốt nên đặt cho mọi người ở cty ạ,Shipping,positive
"Tính năng nổi bật: Bình thường 
Đúng với mô tả: Mô tả không chi tiết 
Chất lượng sản phẩm: Mình sử dụng tạm ổn lúc đầu mình mua cứ tưởng là bảo hành Việt Nam/a không ngờ là của za/a và giá nó cũng khá cao so với máy bạn săn seo đúng ngày. Mình nhận hàng thấy con ipad hộp hơi dơ với móp bên ngoài như hàng trả từ một kh khác rồi gửi cho mình. Nên là mong cửa hàng ghi rõ giúp để tiện cho sau này. Cửa hàng được ủy quyền cửa hàng apple ở việt nam trên sàn thương mại điện tử nữa uy tín với rõ ràng một tí thì tốt hơn. Máy bạn muốn mua nên chờ ngày khuyến mãi nha mình mua sớm một ngày mà giá giảm 500k luôn :(",Shop_Service,negative
"Giao hàng nhanh, cài đặt sẵn- về cài gmail account vào of sử dụng được ngay, hàng cũ tân trang nhìn khá mới.",Shipping,positive
"Đóng gói sản phẩm an toàn, có đầy đủ phụ kiện đi kèm. Thời gian vận chuyển đúng như dự kiến.",Packaging,neutral
"Ưu điểm: Hộp đựng siêu đẹp, thiết kế xịn sò, màn hình to, sử dụng mượt mà, có trigger, có không gian trò chơi bao ngầu, có 120hz, 1 vài ứng dụng sẽ có thiết kế riêng. Loa ổn áp, chụp hình đẹp hơn con redmi note 11 của mình. Nhược điểm: Sử dụng lâu sẽ hơi nóng như kh quá đáng kể, hơi cấn tay không có chỗ cắm tai nghe, bắt buộc phải sử dụng tai nghe bluetooth. Kh có thư viện ảnh, kh có nút điều hướng phải vào phần đặc điểm của cài đặt mới được. Sau vài tiếng trải nghiệm thì wifi bị giật lag mặc dù đứng kế chỗ wifi. Kh hiểu sao gaming phone mà lại có vấn đề về wifi. Thấy nhiều ng bị phần wifi thì chắc mình cũng kh xui như v ai ngờ mình là 1 trong nhx ng đó chốt lại: 7/10.",Camera,positive
"Màn hình hiển thị nội dung ở mức khá. Vỏ máy làm bằng chất liệu phổ thông, cảm giác cầm nắm bình thường.",Display,neutral
"Dễ trục trặc phần mềm che đậy sự thật camera kém. Góc rộng bị méo, chụp người trông như bị biến dạng vậy.",General,negative
"Đặt hàng giao hàng nhanh, đóng gói cẩn thận, sẽ ủng hộ cửa hàng những đơn sau",Shipping,positive
Con này tầm giá 3tr hơn rất ngon mọi người ạ Mình mua về hình thức rất đẹp chỉ bị xước 1 tí vì 97% thế là được rồi Hiệu năng cao up được lên android 12 bình thường Chỉ không có áp suất nhưng không sao vì máy tàm giá thế này là ok Hơi buồn vì cửa hàng chưa dán cường lực trc cho mình không bt dán,Shop_Service,negative
"Camera selfie bị sai màu, ảnh ảo hơn thực tế. Đóng gói không có giấy tờ bảo hành đi kèm. Chăm sóc khách hàng không trả lời tin nhắn, phải gọi nhiều lần.",Shop_Service,negative
"Nhóm màu: Pink 
Dung lượng lưu trữ: 128gb tuổi thọ pin lâu dài., dung lượng lưu trữ đủ sử dụng., chất lượng camera ấn tượng!, thiết kế mượt mà, rất ưng!,",Design,positive
Màu: Trắng dòng máy: Iphone x/xs/xsmax đóng gói cẩn thận nhưng cụm camera không có lỗ cho đèn flas qtr vẫn là tính năng chưa tốt. Nên cho cửa hàng 3 sao,Packaging,positive
"Giao hàng nhanh, chắc chắn",Shipping,positive
Máy được cài đặt sẵn phiên bản hệ điều hành theo công bố của nhà sản xuất.,General,neutral
Phiên bản: Hàn 1 sim 256gb mua 256 g mà gửi 128g sài tạm thời tốt không tỳ vết,General,positive
"Tính năng nổi bật: Sony x1 m2 
Đúng với mô tả: Đúng mô tả 
Chất lượng sản phẩm: Ngoài mong đợi !!! hy vọng e nó bền theo thời gian !!! hình ảnh mang tính chất nhận xu !",General,positive
Hình ảnh và video chỉ mang tính chất nhận xu còn chất lượng của sản phẩm bình thường so với giá tiền nói chung là ok nhé mọi người,Price,positive
"Giao hàng hơi lâu,hàng như quảng cáo,chất lượng khá là tốt zzz",Shipping,negative
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Đúng 
Tính năng nổi bật: Máy ngon, màn cong, giá cả tốt phải chăng, sẽ tiếp tục ủng hộ cho cửa hàng",Price,positive
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Samsung dex máy rất to và mượt và đặc biệt nó còn sở hữu con chip snapdragon 695 màu rất đẹp sang trọng lại còn vừa tiền hợp lý cho các bạn sinh viên",Display,positive
Loa phát nhỏ. Tai nghe Bluetooth nhỏ hơn. Bluetooth chạy codec SBC thấp nhất dù tay nghe hỗ trợ aptx,Others,neutral
Máy xài cũng tốt mà pin sạc 3 tiếng không đầy được. Thân máy bị hở,General,positive
Quá lag,Performance,negative
Săn giá tốt uy tín mọi người ai còn phân vân thì cứ yên tâm đặt hàng nha,Price,positive
Qua 1 thời gian sử dụng thì thấy điện thoại mượt. Pin cũng được. Chơi game cũng mượt. Cửa hàng phục vụ nhiệt tình. Nói chung là 10₫ không có nhưng,Performance,positive
"Tính năng nổi bật: Rất tốt, hình thức đẹp, sử dụng rất thích, mượt mà, 
Chất lượng sản phẩm: Máy mới,hình thức đẹp, không có hộp, không có cắm sạc, chỉ có dây, có vỏ máy bằng nhựa dẻo chống sước. Giao hàng nhanh, thân thiện, trách nhiệm",Design,positive
"Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Khỏi phải bàn luôn ạ, quá tốt và chất lượng quá ạ 
Tính năng nổi bật: Xem youtube, web, tin tức, thời sự, hoạt hình, giải trí, chơi game mình thấy cửa hàng này bán điện thoại sử dụng bình thường mà. Sao nhiều người chê dữ vậy",General,positive
Săn sales được giá ngon nha mọi người. Tiền nào của nấy mhưng giá này tìm được con điện thoại pin trâu ram 6 128gb là ok rồi luot web xem phim thôi cug đủ rồi quý dị,Battery,positive
"Color family: Random color sản phẩm: Máy sử dụng rất ổn, cấu hình thì không cần phải bàn, bề ngoài đẹp,giá cũng hợp lý.",Design,positive
Sản phẩm đúng như mong đợi.. Mượt hơn nhiu con trong cùng tầm giá.,Performance,positive
"Nhóm màu: Xanh dương 
Dung lượng lưu trữ: 128gb sử dụng vật liệu chất lượng cao., chất lượng camera ấn tượng!, giao hàng nhanh chóng và an toàn., tuổi thọ pin lâu dài.,",Camera,positive
"Màu sắc: Bạc 
Phân loại: Nguyên seal máy khá mượt trong tầm giá chỉ hơn 2 triệu hình ảnh mang tính chất nhận xu",Price,positive
Hàng bị bóp méo trầy xước,Packaging,negative
"Đúng với mô tả: Không đúng mô tả 
Tính năng nổi bật: Không có 
Chất lượng sản phẩm: Kém sản phẩm: Hàng lỗi hoặc bị hư hỏng, sản phẩm chất lượng kém, sản phẩm không như mô tả khi nhận hàng điện thoại mở nguồn lên nhưng ánh sáng vô cùng mờ và bấm không ăn. Được 1 lúc thì mở không lên nữa. Nhắn tin cho cửa hàng nhưng không được phản hồi nào từ cửa hàng. Cảm thấy vô cùng bực tức khi bỏ tiền không đúng chỗ",Price,negative
"Tính năng nổi bật: To đùng luôn 
Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Tốt
Máy đẹp vãiiii ý, nhìn sang sang, to cầm sướng tay, sử dụng tốt tại mình không sử dụng tác vụ nặng với choie game. Màn hình đẹp, pin trâu 🐮! phù hợp giá tiền học sinh!",Display,positive
"Hàng nguyên seal, đóng gói cẩn thận chu đáo, mỗi tội thời gian giao hàng hơi lâu, cửa hàng phục vụ rất chu đáo. Đã đặt mua cái thứ hai hộ chị bạn.",Packaging,positive
Sản phẩm đẹp đúng như quảng cáo còn sử dụng thời gian mới biết được độ bền bỉ như nào,General,neutral
"Chào cửa hàng. Máy sử dụng thì tạm được, màng hình thì hay bị đơ. Chưa biết sử dụng thế nào...?😞",Performance,negative
Giao hàng bị bể màng hình,Display,negative
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Tốt 
Tính năng nổi bật: Tốt
Sản phẩm này mang lại trải nghiệm khá cân bằng giữa thiết kế, hiệu năng và giá trị sử dụng. Điểm nổi bật đầu tiên là thiết kế hiện đại, cầm nắm thoải mái, phù hợp với nhiều đối tượng. Về hiệu năng, sản phẩm hoạt động ổn định trong hầu hết các tác vụ thường ngày, đồng thời vẫn đáp ứng tốt nhu cầu cao hơn như làm việc hoặc giải trí. Chất lượng hiển thị và âm thanh được đánh giá ở mức tốt, mang lại trải nghiệm trực quan và sống động. Thời lượng pin/bền bỉ cũng là một ưu điểm, đủ sử dụng trong cả ngày dài. Tuy nhiên, sản phẩm vẫn còn một số hạn chế nhỏ như [hiệu suất khi tải nặng / độ sắc nét / độ hoàn thiện], cần cân nhắc trước khi mua. Nhìn chung, đây là một lựa chọn đáng tham khảo trong tầm giá, phù hợp cho người sử dụng cần một thiết bị ổn định, nhiều tính năng và đáp ứng đa dạng nhu cầu sử dụng hàng ngày.",Battery,positive
Giá rẻ nên cũng không mong đợi mượt như điện thoại bây giờ. Sử dụng được nhưng pin kém quá. Nhanh hết pin,Battery,negative
"Máy hay bị treo, phải khởi động lại. Hiệu năng không ổn định khi chạy ngầm. Pin hao hụt nhanh. Mở vài app là đơ. Pin hết nhanh. Giao hàng không liên hệ",Shipping,negative
"Hiệu năng khựng chuyển màn, chăm sóc khách hàng quanh co. Camera chân dung xô lệch, pin giảm 28% đứng yên.",Battery,negative
"Kém không đúng yếu kém pin sụt như thác. Camera mờ tịt, không rõ ràng.,",Camera,negative
Chất lượng phù hợp với giá tiền. Loa bé. Mở full âm hơi rè. Màn 120hz nhưng vẫn không mượt. Nói chung là mình không sử dụng. 5 sao Vì hình thức đẹp cửa hàng vui vẻ 😂,Price,positive
Giá rẻ hơn cửa hàng ngoài rất nhiều. Trong tầm giá thì máy ngon phù hợp cho ai làm máy phụ nghe gọi sử dụng zalo pin khỏe đáng mua,Battery,positive
Đóng gói sơ sài máy bị móp cạnh hiệu năng quá nhiệt khi sử dụng lâu chăm sóc khách hàng không hỗ trợ,Performance,negative
"Điện thoại newseal chính hãng tất cả mọi thứ vô củng ổn áp tuyệt vời hệ điều hành siêu mượt mặc dù cấu hình không mạnh🙂😠😏 bền bỉ kháng nc pin trâu như cầu ít game quá hợp lý, ship nội thành siêu nhanh như 1 cơn gió quá tuyệt vời 😍🤩🥰😘🥳🥰😍🤩🥳",Battery,positive
"Nhóm màu: Màu xanh đậm 
Dung lượng lưu trữ: 128gb máy còn khá mới. Máy sử dụng khá mượt. Nhưng áp không còn. Ổn trong tầm giá. Cảm ơn cửa hàng. Có cơ hội sẽ ủng hộ cửa hàng tiếp.",Price,positive
"Màu sắc: Màu ngẫu nhiên sản phẩm: Mình nhận được hàng rồi nhé, cửa hàng đóng gói cẩn thận,đẹp mắt,giao hàng giao nhanh cảm ơn cửa hàng nhiều nhé. Tặng cửa hàng 5 sao",Shipping,positive
"Nhóm màu: Black 
Dung lượng lưu trữ: 128gb good",General,positive
Thời lượng pin theo công bố của nhà sản xuất là 4000mAh.,Battery,neutral
"Máy chưa kích hoạt, chính hãng",General,positive
"Chất lượng sản phẩm: Tệ
Dịch vụ trả lời thắc mắc của khách hàng quá tệ, hỏi 1 đằng trả lời 1 nẻo. Máy vừa mua sử dụng chưa được 1 ngày mà đứng đơ màn hình, phải chờ 1 lát khởi động lại máy. Hỏi cửa hàng thì cửa hàng kêu mang máy lên trạm đổi, ối zồi ôi luôn. Tác vụ thì không nhạy lắm đâu, cửa sổ thu nhỏ thì không có là chắc rồi, vì rẻ mà. Ứng dụng dép lào hay phây bóc cũng không mở được bong bóng chat đâu. Nói chung ai cần những cái cơ bản đo thì nghĩ kĩ rồi mua, chứ mình lỡ rồi thì chịu.",Shop_Service,negative
Máy đẹp. Nhưng vận chuyển lâu kinh khủng 5ngày mới nhận được hàng. Có người nhận ngay ngày ra mắt mình thì nay mới nhận được.,Design,positive
"Giao máy đúng nhưng mà thiếu khe sim, nhắn tin cửa hàng thì trả lời được vài câu rồi cũng không trả lời luôn",Shop_Service,negative
"Đúng với mô tả: Đúng mô tả 
Chất lượng sản phẩm: Chất lượng sản phẩm chấp nhận trong tầm giá 
Tính năng nổi bật: Sản phẩm 2 sim có nfc đóng gói chắc chắn nguyên kiện. Sử dụng chấp nhận trong tầm giá",Packaging,positive
"Màn có vết bảo đảm 'không lỗi' điểm chết, xem phim khó chịu,",Display,negative
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Tốt
Đã nhân hàng và sử dụng được mấy hôm điện thoại nhìn mới lắm giống như quãng cáo chạy mượt, mong là sài bềnh, cho cửa hàng 5sao",Performance,positive
Ngoại hình nhìn tốt. Khi mua cân nhắc kỹ nghe. Pin cũ không giữ pin được.. Bấm chút là hết pin. Chưa sử dụng gì mà bộ nhớ đầy rồi.. Ứng dụng gì mà hoá trời không coi youtube được.. Không giống như quảng cáo. Sạc không vô pin,Battery,negative
"Không dung được camera trước, bị mờ,chp anh không thấy gi luon,mọi người cần nhắc khi mua,lừa đảo,có phải tiền trên trời đâu mà bán hang dỏm,",Camera,negative
Camera chụp cận cảnh không lấy nét được. Màn hình hiển thị màu sai lệch. Hiệu năng chơi game cấu hình thấp cũng giật. Chăm sóc khách hàng chỉ trả lời bằng tin nhắn mẫu. Đơn hàng giao nhầm ngày,Display,negative
"Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Tốt
Có một chút về vấn đề ship nhưng máy tốt mọi người nên mua",Shipping,negative
"Nhóm màu: Desert 
Dung lượng lưu trữ: 256gb dịch vụ khách hàng xuất sắc, giao hàng nhanh chóng và hiệu quả,",Shop_Service,positive
"Điện thoại rất oke ạ. Đủ phụ kiện, săn sale được giá hời. Nghe review điện thoại này tốt nhất trong tầm giá",Price,positive
"Sản phẩm rất ok! Hàng nguyên seal, cửa hàng uy tín",General,positive
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Pin trâu 
Đúng với mô tả: Đúng hàng đẹp giá rẻ hàng chất lượng tốt đã mua rất nhiều lần có nhu cầu sẽ mua ủng hộ tiếp",Price,positive
"Nhóm màu: Màu trắng sản phẩm: Dây cáp ⚡ 
Hiệu suất: Tốt 📸 
Chất lượng camera: Tốt quay phim chụp hình rất đẹp máy mới full phụ kiện nhân viên chăm sóc khách hàng tốt giao hàng tận nhà nhanh chóng đóng hộp kĩ càng cẩn thận chắc chắn màn hình cảm ứng to mượt mà nhạy lướt web cực kì nhanh pin khá ổn áp, sử dụng được khá lâu máy mới đẹp full chức năng, vừa vặn ram máy mạnh chơi game không giật lãng lướt web xem phim cực chất lượng giá cả hợp lý vừa túi tiền rất tốt với cửa hàng",Shipping,positive
Đơn vị vận chuyển cung cấp mã số theo dõi,Shipping,neutral
"Đóng gói lỏng lẻo, hộp rách, pk thiếu. Khác với mô tả giao nhận an toàn. Tính năng bảo hành khó khăn. Máy khởi động chậm, hiệu năng giảm sau cập nhật, ship mất tuần",Shipping,negative
Mức giá sản phẩm đúng với giá được hiển thị trên website tại thời điểm tôi đặt hàng.,Price,neutral
"Storage capacity: Bản ram 4gb/64gb rất đáng đồng tiền, hiệu năng mượt mà, chất lượng camera xuất sắc, màn hình đẹp, nhanh và nhạy, cảm ơn bạn.",Performance,positive
Pin tụt nhanh khi dùng gps camera chụp đêm nhiễu shipping chậm do lỗi địa chỉ,Shipping,negative
"Nhóm màu: Black 
Dung lượng lưu trữ: 128gb thời lượng pin lâu dài, hiệu suất mượt mà, dung lượng lưu trữ cao, thiết kế đẹp mắt, màn hình sắc nét, giá trị tuyệt vời cho số tiền,",Battery,positive
"Nói thật đem về xài cũng được, cho mẹ lượt mxh hay coi ytb ok, cho em gái đi học cấp 2 ok, hay xài tác vụ cơ bản tạm được, chơi game liên quân trong game không lag nhưng tác vụ ngoài game rất chậm. Hợp tầm giá, còn như ram 20gb thì như là ảo, camera không đẹp. Nói chung với tầm giá mua trải nghiệm cho vui thì ok",Performance,neutral
"Hối hận thực sự đúng máy nhưng sai lầm tất cả đều tệ. Đây là sản phẩm công nghệ tệ nhất mình từng mua. Pin yếu, hiệu năng lag, camera xấu, máy nóng, phần mềm lỗi. Mình khuyên thật lòng mọi người nên tránh xa mẫu máy này ra, đừng để mất tiền oan như mình.",General,negative
Color family: Yellow sản phẩm: Sạc dp 10.000mah cửa hàng lừa đảo mua điện thoại samsung s7 edge gửi cục sạc,General,negative
Máy nóng ran sau 30p sử dụng camera thiếu nét màu nhạt nhòa ship muộn không thông báo lý do,Shipping,negative
"Đưa sạc dỏm, không vô gì hết",General,negative
Đóng gói sơ sài hộp méo mó camera zoom rung lắc shipping giao nhầm địa chỉ phải chờ lại,Packaging,negative
"Sản phẩm chất lượng, sử dụng tốt, mượt, giá hợp lý, có 2 loa, nghe âm thanh vang, giao hàng nhanh, đóng gói cẩn thận, cảm ơn cửa hàng, 5 sao ạ!",Price,positive
Được 3 hôm cảm ứng màn hình bị hỏng,Display,negative
"Dở tệ không khớp kém chăm sóc kh thô lỗ. Hiệu năng nóng ran.,",Performance,negative
"Sản phẩm sai miêu tả nhắn tin nói để nhầm hình ảnh, mô tả sản phẩm để 256g nhưng giao 128g hên kiểm thấy, giải quyết như không thiện chí",Shop_Service,negative
"Hàng đúng với mô tả, giao hàng đúng hẹn. Đóng gói siêu cẩn thận. Đề nghị honor Việt Nam đưa những mẫu hot bên tq về cho người dùng thêm lựa chọn.",Shipping,positive
"Dở tệ sai kém chăm sóc kh chậm rì. Camera màu sắc lệch lạc.,",Shop_Service,negative
"Giao hàng nhanh, sản phẩm đúng mô tả, đóng gói cẩn thận, sử dụng thử khá tốt, mong sẽ bền",Packaging,positive
Tốc độ xử lý của máy ở mức đủ để không gây khó chịu trong quá trình sử dụng.,Performance,neutral
"Máy sử dụng ổn, app rác với quảng cáo ít. Thông báo thì không bao giờ thấy máy báo email, các app khác thì thông báo bình thường hơi ""chậm"" tí thôi. Cam chụp đủ sử dụng. Không chơi game mấy nên không rõ hiệu năng sao.",Performance,neutral
Máy còn khá ổn áp.. Ngon lành,General,positive
"Cửa hàng tư vấn nhiệt tình,giao hàng nhanh chóng,đóng gói cẩn thận,mình rất yên tâm khi mua hàng ở cửa hàng",Packaging,positive
"Chất lượng sản phẩm: Tệ 
Đúng với mô tả: Không 
Tính năng nổi bật: Bình thường máy giá 3tr5 nhưng chất lượng như hàng 1tr, không xứng đáng",General,negative
"Tệ hại sai sự thật lag, pin kém. Máy sử dụng rất bực mình, lag giật liên tục. Pin thì yếu xìu. Gọi lên tổng đài hỗ trợ thì không ai nghe máy.",Performance,negative
